ISO_CODE_1,ISO_CODE_2,FBDist
AE,PY,4.178821496396355
AE,QA,2.025046446427193
AE,RE,3.7265036359030796
AE,RO,3.4836547472186963
AE,RS,3.5635296688344904
AE,RU,3.2157108414690803
AE,RW,3.445444430087139
AE,SA,2.050803253645838
AE,SB,3.5252122996734925
AE,SC,3.1541786653938444
AE,SE,3.1679041310924285
AE,SG,2.8737904557070033
AE,SI,3.5144171051903097
AE,SK,3.3686034787042454
AE,SL,3.6414292683582845
AE,SM,10.249604288097997
AE,SN,3.312193057066925
AE,SO,3.31811958402113
AE,SR,3.760522013478828
AE,SS,3.3795771119076528
AE,ST,3.6688107214498014
AE,SV,3.730107839350733
AE,SX,4.313797491131746
AE,SZ,3.401568129247309
AE,TC,4.107635344160239
AE,TD,3.7404188525823097
AE,TG,3.44303729242443
AE,TH,4.8165223104031085
AE,TJ,3.042940180163235
AE,TK,5.346589320332449
AE,TL,3.402731427703526
AE,TM,4.109401056534085
AE,TN,3.731538929324
AE,TO,3.4779682920255923
AE,TR,3.1127998212946215
AE,TT,4.097536731545928
AE,TV,7.29068115677279
AE,TW,4.838132572253249
AE,TZ,3.4111698747432118
AE,UA,3.173246619465069
AE,UG,3.186510488948405
AE,US,3.1322875375075787
AE,UY,4.020966693182492
AE,UZ,2.9648784770394747
AE,VC,3.4995985102298297
AE,VE,3.5169917357728377
AE,VG,5.742279015489753
AE,VI,4.793523515069403
AE,VN,5.140206485668567
AE,VU,3.3192709632774875
AE,WF,7.470054361429879
AE,WS,3.3124571671357086
AE,XK,4.470847619896843
AE,YE,3.0505598047672335
AE,YT,3.4233986948418207
AE,ZA,2.964426000219663
AE,ZM,3.243513111049906
AE,ZW,3.296898677332958
AF,AD,4.436711235488656
AF,AE,3.400373661835858
AF,AF,0.0
AF,AG,4.096108178478451
AF,AI,5.1865512493342685
AF,AL,3.9884362810119858
AF,AM,3.5549810387472087
AF,AO,3.69153314958848
AF,AR,4.120256410353281
AF,AS,4.272538511173137
AF,AT,3.856292626815174
AF,AU,3.9870875394784426
AF,AW,5.01519034227598
